generation,Npop,diversity,encountered,core_pop,core_size
1188,731,106,3950,479,4
1189,706,100,3951,483,6
1190,674,104,3952,435,4
1191,683,99,3954,461,5
1192,715,106,3955,492,4
1193,717,91,3955,479,5
1194,678,95,3957,436,4
1195,686,102,3958,439,4
1196,695,99,3960,441,4
1197,683,111,3961,442,5
1198,690,100,3963,470,7
1199,675,97,3965,448,5
1200,707,104,3966,464,5
1201,646,93,3966,421,6
1202,702,102,3966,467,4
1203,682,103,3968,452,5
1204,638,103,3969,388,4
1205,646,108,3970,403,6
1206,704,107,3971,441,4
1207,670,103,3972,423,4
1208,690,106,3973,461,6
1209,664,101,3975,424,4
1210,730,104,3976,495,4
1211,687,107,3977,439,4
1212,650,102,3977,405,4
1213,670,108,3979,428,6
1214,651,107,3980,409,5
1215,641,105,3982,419,7
1216,672,108,3982,428,4
1217,704,106,3982,465,5
1218,694,107,3983,445,5
1219,671,104,3983,420,4
1220,692,101,3983,442,5
1221,672,105,3983,435,5
1222,676,107,3984,429,5
1223,679,101,3984,475,8
1224,612,103,3985,373,4
1225,658,102,3985,417,5
1226,636,98,3985,392,4
1227,677,97,3987,452,5
1228,625,90,3987,406,6
1229,679,106,3988,434,4
1230,651,115,3988,393,4
1231,677,110,3989,426,4
1232,602,110,3989,362,5
1233,674,101,3990,431,4
1234,698,105,3992,466,5
1235,692,107,3994,446,5
1236,649,101,3995,425,6
1237,704,107,3996,472,6
1238,648,106,3996,419,6
1239,676,98,3996,452,6
1240,648,97,3996,412,4
1241,651,100,3996,413,4
1242,685,101,3997,451,4
1243,667,108,3997,417,4
1244,678,102,3998,432,4
1245,679,105,3998,454,6
1246,668,101,3998,413,4
1247,651,102,3999,420,7
1248,636,108,3999,410,8
1249,662,107,4003,421,5
1250,694,107,4003,437,4
1251,720,101,4003,487,4
1252,693,99,4003,464,5
1253,665,97,4005,439,4
1254,688,97,4006,462,4
1255,715,100,4009,492,4
1256,698,101,4009,462,5
1257,721,104,4010,497,6
1258,707,104,4010,461,5
1259,708,108,4010,462,4
1260,685,105,4010,457,7
1261,736,105,4010,503,6
1262,731,96,4012,504,5
1263,694,96,4012,475,6
1264,685,96,4012,453,4
1265,671,109,4012,433,4
1266,708,105,4012,469,4
1267,675,111,4012,454,8
1268,709,111,4013,482,5
1269,670,115,4015,425,5
1270,694,109,4016,449,5
1271,670,106,4016,423,4
1272,675,112,4016,439,5
1273,627,104,4017,395,6
1274,656,111,4018,416,8
1275,648,101,4019,432,8
1276,684,105,4020,452,5
1277,697,106,4020,472,6
1278,722,101,4021,494,6
1279,668,98,4021,437,6
